,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,StudentAbsenceDays,Class,Discussion-Binned
224,M,Syria,Jordan,MiddleSchool,6,A,Spanish,S,Father,0.09,0.0707070707070707,21,20,Good,1,L,Low
225,M,Syria,Syria,MiddleSchool,5,A,Quran,F,Father,0.19,0.7272727272727273,15,50,Good,1,M,Medium
226,F,Jordan,Jordan,MiddleSchool,5,B,Science,S,Mum,0.32,0.8080808080808081,58,46,Good,1,M,Medium
227,M,KW,KuwaIT,MiddleSchool,5,B,Science,S,Mum,0.32,0.6060606060606061,58,66,Good,1,M,Medium
228,M,KW,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.12,0.08080808080808081,18,26,Bad,1,L,Low
229,M,Jordan,Jordan,MiddleSchool,5,B,Science,S,Father,0.52,0.10101010101010101,13,6,Bad,1,L,Low
230,M,KW,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.72,0.8080808080808081,58,66,Good,1,M,Medium
231,F,KW,KuwaIT,MiddleSchool,5,B,Science,S,Mum,0.72,0.8080808080808081,58,66,Good,1,M,Medium
232,M,Egypt,Egypt,MiddleSchool,5,B,Science,S,Mum,0.92,0.8080808080808081,88,76,Good,0,H,High
233,M,KW,KuwaIT,MiddleSchool,5,B,Science,S,Mum,0.72,0.8080808080808081,98,96,Bad,0,H,High
234,M,Egypt,Egypt,MiddleSchool,5,B,Science,S,Father,0.72,0.8080808080808081,58,86,Good,0,M,High
235,M,KW,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.22,0.20202020202020202,18,6,Bad,1,L,Low
236,M,Egypt,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.12,0.20202020202020202,38,46,Bad,1,M,Medium
237,M,KW,KuwaIT,MiddleSchool,5,B,IT,S,Mum,0.7,0.9292929292929293,83,85,Bad,0,H,High
238,F,KW,KuwaIT,MiddleSchool,4,A,IT,S,Father,0.5,0.40404040404040403,52,66,Bad,0,M,Medium
239,F,KW,KuwaIT,MiddleSchool,4,A,Science,S,Father,0.8,0.9494949494949495,62,77,Good,0,H,High
240,F,KW,KuwaIT,MiddleSchool,4,A,Math,S,Father,0.87,0.48484848484848486,82,96,Bad,1,M,High
241,F,KW,KuwaIT,MiddleSchool,4,A,Quran,S,Father,0.7,0.40404040404040403,2,16,Bad,1,L,Low
242,M,KW,KuwaIT,lowerlevel,2,A,IT,S,Father,0.65,0.8686868686868687,62,40,Good,1,M,Medium
243,M,KW,KuwaIT,lowerlevel,2,A,Math,S,Father,0.15,0.06060606060606061,32,40,Good,0,H,Medium
244,M,Egypt,Egypt,lowerlevel,2,A,English,S,Mum,0.19,0.7474747474747475,32,17,Good,1,L,Low
245,F,KW,KuwaIT,lowerlevel,2,A,Science,S,Father,0.69,0.7676767676767676,82,94,Bad,0,M,High
246,M,KW,KuwaIT,lowerlevel,2,A,Arabic,S,Father,0.39,0.26262626262626265,12,44,Bad,1,L,Medium
247,M,KW,KuwaIT,lowerlevel,2,A,English,S,Father,0.59,0.9797979797979798,42,70,Good,0,H,High
248,M,KW,KuwaIT,lowerlevel,2,A,History,S,Father,0.1,0.1717171717171717,12,40,Good,0,H,Medium
249,F,KW,KuwaIT,lowerlevel,2,A,History,S,Mum,0.8,0.8787878787878788,72,60,Good,0,H,Medium
250,F,KW,KuwaIT,lowerlevel,2,A,History,S,Father,0.7,1.0,66,65,Good,0,M,Medium
251,F,KW,KuwaIT,lowerlevel,2,A,History,S,Father,0.8,0.9797979797979798,86,95,Good,0,M,High
252,M,KW,KuwaIT,lowerlevel,2,A,English,S,Mum,0.69,0.3434343434343434,12,17,Bad,1,L,Low
253,M,KW,KuwaIT,lowerlevel,2,A,History,S,Father,0.1,0.1717171717171717,12,14,Bad,1,L,Low
254,M,KW,KuwaIT,lowerlevel,2,A,History,S,Father,0.61,0.9797979797979798,82,64,Bad,1,M,Medium
255,F,KW,KuwaIT,lowerlevel,2,A,History,S,Mum,0.21,0.2727272727272727,52,34,Good,1,M,Medium
256,M,Egypt,Egypt,lowerlevel,2,A,Math,S,Mum,0.49,0.9494949494949495,42,7,Bad,1,M,Low
257,F,Jordan,Jordan,MiddleSchool,4,A,English,F,Mum,0.7,0.6464646464646465,42,32,Bad,0,M,Low
258,F,Jordan,Jordan,MiddleSchool,4,A,English,S,Mum,0.79,0.8484848484848485,82,37,Bad,0,H,Medium
259,M,Jordan,Jordan,MiddleSchool,4,A,English,F,Father,0.19,0.8080808080808081,12,17,Good,1,M,Low
260,M,Jordan,Jordan,MiddleSchool,4,A,English,S,Father,0.11,0.7070707070707071,32,29,Good,1,M,Low
261,M,Jordan,Jordan,MiddleSchool,4,A,English,F,Father,0.1,0.08080808080808081,10,10,Bad,1,M,Low
262,M,Jordan,Jordan,MiddleSchool,4,A,English,S,Father,0.18,0.2828282828282828,40,20,Bad,1,M,Low
263,F,Jordan,Jordan,MiddleSchool,4,A,English,F,Mum,0.9,0.8484848484848485,52,30,Good,0,H,Low
264,F,Jordan,Jordan,MiddleSchool,4,A,English,S,Mum,0.92,0.8181818181818182,32,36,Good,0,M,Medium
265,M,Jordan,Jordan,MiddleSchool,4,A,English,F,Father,0.42,0.21212121212121213,2,16,Bad,0,M,Low
266,M,Jordan,Jordan,MiddleSchool,4,A,English,S,Father,0.22,0.20202020202020202,6,26,Bad,0,H,Low
267,F,lebanon,lebanon,MiddleSchool,4,A,English,F,Mum,0.95,0.8282828282828283,82,70,Good,0,H,High
268,F,lebanon,lebanon,MiddleSchool,4,A,English,S,Mum,0.9,0.6262626262626263,80,60,Good,0,H,Medium
269,M,Palestine,Jordan,MiddleSchool,4,A,English,F,Mum,0.72,0.21212121212121213,22,26,Good,0,H,Low
270,M,Palestine,Jordan,MiddleSchool,4,A,English,S,Mum,0.92,0.31313131313131315,42,27,Good,0,H,Low
271,M,Palestine,Jordan,MiddleSchool,4,A,English,F,Mum,0.82,0.31313131313131315,52,25,Good,0,M,Low
272,M,Palestine,Jordan,MiddleSchool,4,A,English,S,Mum,0.72,0.41414141414141414,46,27,Good,0,M,Low
273,M,Iraq,Iraq,MiddleSchool,4,A,English,F,Mum,0.74,0.7171717171717171,56,37,Good,0,H,Medium
274,M,Iraq,Iraq,MiddleSchool,4,A,English,S,Mum,0.74,0.6060606060606061,56,37,Good,0,H,Medium
275,F,Jordan,Jordan,MiddleSchool,4,A,English,F,Mum,0.95,0.9494949494949495,72,80,Good,0,H,High
276,F,Jordan,Jordan,MiddleSchool,4,A,English,S,Mum,0.97,0.8787878787878788,82,86,Good,0,H,High
277,M,Jordan,Jordan,MiddleSchool,4,A,English,F,Father,0.4,0.3838383838383838,32,36,Bad,1,M,Medium
278,M,Jordan,Jordan,MiddleSchool,4,A,English,S,Father,0.41,0.3939393939393939,35,39,Bad,1,M,Medium
279,F,Jordan,Jordan,MiddleSchool,4,A,English,F,Mum,0.51,0.797979797979798,85,89,Good,0,H,High
280,F,Jordan,Jordan,MiddleSchool,4,A,English,S,Mum,0.81,0.797979797979798,91,85,Good,0,H,High
281,M,Palestine,Jordan,MiddleSchool,4,A,English,F,Mum,0.71,0.7070707070707071,65,69,Good,0,M,High
282,F,Jordan,Jordan,lowerlevel,2,A,Science,F,Father,0.49,0.36363636363636365,32,44,Bad,1,L,Medium
283,F,Jordan,Jordan,lowerlevel,2,A,Science,S,Father,0.42,0.24242424242424243,12,24,Bad,1,L,Low
284,F,Palestine,Palestine,lowerlevel,2,A,Science,F,Mum,0.9,0.8686868686868687,82,74,Good,0,H,High
285,F,Palestine,Palestine,lowerlevel,2,A,Science,S,Mum,0.62,0.6464646464646465,72,84,Good,0,H,High
286,M,Iraq,Iraq,lowerlevel,2,A,Science,F,Father,0.9,0.8686868686868687,82,74,Good,1,M,High
287,M,Iraq,Iraq,lowerlevel,2,A,Science,S,Father,0.62,0.6464646464646465,72,84,Good,1,M,High
288,F,Jordan,Jordan,lowerlevel,2,A,Science,F,Mum,0.98,0.8787878787878788,86,84,Good,0,H,High
289,F,Jordan,Jordan,lowerlevel,2,A,Science,S,Mum,0.72,0.7474747474747475,82,89,Good,0,H,High
290,M,Jordan,Jordan,lowerlevel,2,A,Science,F,Father,0.18,0.1717171717171717,26,34,Good,1,M,Medium
291,M,Jordan,Jordan,lowerlevel,2,A,Science,S,Father,0.32,0.1414141414141414,32,29,Good,1,M,Low
292,M,Jordan,Jordan,lowerlevel,2,A,Science,F,Father,0.1,0.12121212121212122,20,13,Bad,1,L,Low
293,M,Jordan,Jordan,lowerlevel,2,A,Science,S,Father,0.22,0.3434343434343434,15,9,Bad,1,L,Low
294,F,Jordan,Jordan,lowerlevel,2,B,Science,F,Mum,0.11,0.20202020202020202,21,23,Bad,0,M,Low
295,F,Jordan,Jordan,lowerlevel,2,B,Science,S,Mum,0.12,0.4444444444444444,25,39,Bad,0,M,Medium
296,F,Jordan,Jordan,lowerlevel,2,B,Science,F,Father,0.15,0.5050505050505051,24,43,Bad,0,M,Medium
297,F,Jordan,Jordan,lowerlevel,2,B,Science,S,Father,0.32,0.4444444444444444,29,89,Bad,0,M,High
298,M,Jordan,Jordan,lowerlevel,2,B,Science,F,Mum,0.65,0.5959595959595959,74,83,Good,0,H,High
299,M,Jordan,Jordan,lowerlevel,2,B,Science,S,Mum,0.72,0.6464646464646465,59,89,Good,0,H,High
300,M,Palestine,Jordan,lowerlevel,2,B,Science,F,Mum,0.95,0.5757575757575758,74,89,Good,1,M,High
301,M,Palestine,Jordan,lowerlevel,2,B,Science,S,Mum,0.82,0.8484848484848485,79,79,Good,1,M,High
302,M,Jordan,Jordan,lowerlevel,2,B,Science,F,Father,0.25,0.29292929292929293,34,33,Good,1,M,Low
303,M,Jordan,Jordan,lowerlevel,2,B,Science,S,Father,0.42,0.3434343434343434,29,39,Good,1,M,Medium
304,F,Jordan,Jordan,lowerlevel,2,B,Science,F,Mum,0.55,0.797979797979798,44,43,Good,0,H,Medium
305,F,Jordan,Jordan,lowerlevel,2,B,Science,S,Mum,0.62,0.6464646464646465,69,49,Good,0,H,Medium
306,F,Jordan,lebanon,lowerlevel,2,B,Science,F,Mum,0.78,0.8888888888888888,74,83,Good,0,H,High
307,F,Jordan,lebanon,lowerlevel,2,B,Science,S,Mum,0.72,0.8484848484848485,89,89,Good,0,H,High
308,M,Jordan,Jordan,lowerlevel,1,A,French,F,Mum,0.46,0.9292929292929293,83,23,Good,0,H,Low
309,F,Jordan,Jordan,lowerlevel,1,A,French,F,Mum,0.6,0.9797979797979798,13,3,Good,0,H,Low
310,F,Jordan,Jordan,lowerlevel,1,A,French,S,Mum,0.5,0.9595959595959596,23,10,Good,0,H,Low
311,F,Jordan,Jordan,lowerlevel,1,A,French,F,Mum,0.6,0.8787878787878788,23,11,Good,1,M,Low
312,M,Jordan,Jordan,lowerlevel,1,A,French,F,Father,0.1,0.15151515151515152,10,21,Bad,1,L,Low
313,M,Jordan,Jordan,lowerlevel,1,A,French,S,Father,0.3,0.10101010101010101,20,5,Bad,1,L,Low
314,M,Syria,Syria,lowerlevel,1,A,French,F,Father,0.24,0.35353535353535354,18,31,Bad,0,M,Low
315,M,Syria,Syria,lowerlevel,1,A,French,S,Father,0.27,0.20202020202020202,33,35,Bad,0,M,Medium
316,M,Jordan,Jordan,lowerlevel,1,A,French,F,Father,0.1,0.15151515151515152,10,21,Bad,1,L,Low
317,M,Jordan,Jordan,lowerlevel,1,A,French,S,Father,0.3,0.10101010101010101,20,5,Bad,1,L,Low
318,F,Jordan,Palestine,lowerlevel,1,A,French,F,Mum,0.8,0.7777777777777778,63,83,Good,0,M,High
319,F,Jordan,Palestine,lowerlevel,1,A,French,S,Mum,0.75,0.8585858585858586,73,80,Good,0,M,High
320,M,Jordan,Jordan,lowerlevel,1,A,French,F,Father,0.4,0.0707070707070707,50,41,Good,1,L,Medium
321,M,Jordan,Jordan,lowerlevel,1,A,French,S,Father,0.35,0.020202020202020204,29,33,Good,1,L,Low
322,F,Jordan,Jordan,lowerlevel,1,A,French,F,Mum,0.1,0.9090909090909091,30,21,Good,0,M,Low
323,F,Jordan,Jordan,lowerlevel,1,A,French,S,Mum,0.25,0.8080808080808081,29,23,Good,0,M,Low
324,M,Lybia,Lybia,lowerlevel,1,A,French,F,Mum,0.1,0.08080808080808081,9,3,Good,1,L,Low
325,M,Lybia,Lybia,lowerlevel,1,A,French,S,Mum,0.15,0.0707070707070707,12,7,Good,1,L,Low
326,F,Palestine,Jordan,lowerlevel,1,A,French,F,Mum,0.7,0.9090909090909091,20,21,Good,0,M,Low
327,F,Palestine,Jordan,lowerlevel,1,A,French,S,Mum,0.75,0.8080808080808081,15,20,Good,0,M,Low
328,F,Palestine,Jordan,lowerlevel,1,B,French,F,Father,0.78,0.98989898989899,10,11,Good,0,M,Low
329,F,Palestine,Jordan,lowerlevel,1,B,French,S,Father,0.79,0.898989898989899,11,14,Good,0,M,Low
330,F,Iraq,Iraq,lowerlevel,1,B,French,F,Father,0.16,0.9090909090909091,15,11,Good,0,M,Low
331,F,Iraq,Iraq,lowerlevel,1,B,French,S,Father,0.17,0.8080808080808081,13,10,Good,0,M,Low
332,M,Jordan,Jordan,lowerlevel,1,B,French,F,Mum,0.4,0.8787878787878788,50,41,Bad,0,M,Medium
333,M,Jordan,Jordan,lowerlevel,1,B,French,S,Mum,0.35,0.9292929292929293,29,33,Bad,0,M,Low
334,F,Jordan,Jordan,lowerlevel,1,B,French,F,Mum,0.14,0.9797979797979798,15,14,Good,0,H,Low
335,F,Jordan,Jordan,lowerlevel,1,B,French,F,Mum,0.13,0.8282828282828283,20,30,Good,0,H,Low
336,F,Jordan,Jordan,lowerlevel,1,B,French,S,Mum,0.24,0.9797979797979798,15,14,Good,0,H,Low
337,F,Jordan,Jordan,lowerlevel,1,B,French,S,Mum,0.23,0.8282828282828283,20,30,Good,0,H,Low
338,M,Lybia,Lybia,lowerlevel,1,B,French,F,Mum,0.2,0.030303030303030304,9,3,Good,1,L,Low
339,M,Lybia,Lybia,lowerlevel,1,B,French,S,Mum,0.15,0.04040404040404041,12,7,Good,1,L,Low
340,M,Egypt,Egypt,lowerlevel,1,B,French,F,Mum,0.05,0.13131313131313133,6,6,Good,1,L,Low
341,M,Egypt,Egypt,lowerlevel,1,B,French,S,Mum,0.07,0.09090909090909091,11,10,Good,1,L,Low
342,F,Jordan,Jordan,lowerlevel,1,B,French,F,Mum,0.1,0.9494949494949495,40,11,Good,0,M,Low
343,F,Jordan,Jordan,lowerlevel,1,B,French,S,Mum,0.25,0.898989898989899,21,13,Good,0,M,Low
344,M,Jordan,Jordan,lowerlevel,1,B,French,F,Mum,0.3,0.98989898989899,42,21,Good,0,H,Low
345,M,Jordan,Jordan,lowerlevel,1,B,French,S,Mum,0.35,0.9797979797979798,41,23,Good,0,H,Low
346,M,Jordan,Jordan,lowerlevel,1,B,French,F,Father,0.32,0.8888888888888888,32,25,Good,0,M,Low
347,M,Jordan,Jordan,lowerlevel,1,B,French,S,Father,0.25,0.8787878787878788,21,27,Good,0,M,Low
348,F,lebanon,lebanon,lowerlevel,1,B,French,F,Mum,0.72,0.98989898989899,52,15,Good,0,H,Low
349,F,lebanon,lebanon,lowerlevel,1,B,French,S,Mum,0.75,0.9090909090909091,51,17,Good,0,H,Low
350,M,Jordan,Jordan,lowerlevel,1,A,Arabic,F,Father,0.2,0.8888888888888888,31,28,Good,1,M,Low
351,M,Palestine,Jordan,lowerlevel,1,A,Arabic,F,Father,0.9,0.98989898989899,41,38,Good,0,H,Medium
352,M,Palestine,Jordan,lowerlevel,1,A,IT,S,Father,0.8,0.8888888888888888,51,39,Good,0,H,Medium
353,M,Iraq,Iraq,lowerlevel,1,A,Arabic,F,Father,0.8,0.9595959595959596,21,28,Good,0,H,Low
354,M,Iraq,Iraq,lowerlevel,1,A,Arabic,S,Father,0.78,0.7070707070707071,31,29,Good,0,H,Low
355,M,Jordan,Jordan,lowerlevel,1,A,Arabic,F,Father,0.1,0.18181818181818182,71,38,Good,1,M,Medium
356,M,Jordan,Jordan,lowerlevel,1,A,Arabic,S,Father,0.1,0.5858585858585859,51,48,Good,1,M,Medium
357,F,Palestine,Jordan,lowerlevel,1,A,Arabic,F,Mum,0.98,0.8888888888888888,60,31,Good,0,H,Low
358,F,Palestine,Jordan,lowerlevel,1,A,Arabic,S,Mum,0.75,0.8181818181818182,51,34,Good,0,H,Medium
359,M,Jordan,Jordan,lowerlevel,1,A,Arabic,F,Father,0.1,0.1717171717171717,50,21,Bad,0,M,Low
360,M,Jordan,Jordan,lowerlevel,1,A,Arabic,S,Father,0.35,0.020202020202020204,29,23,Bad,0,M,Low
361,F,Jordan,Jordan,lowerlevel,1,A,Arabic,F,Father,0.1,0.20202020202020202,22,97,Bad,1,L,High
362,F,Jordan,Jordan,lowerlevel,1,A,Arabic,S,Father,0.05,0.09090909090909091,19,98,Bad,1,L,High
363,M,Jordan,Jordan,lowerlevel,1,B,Arabic,F,Father,0.1,0.10101010101010101,40,51,Bad,1,L,Medium
364,M,Jordan,Jordan,lowerlevel,1,B,Arabic,S,Father,0.35,0.020202020202020204,29,23,Bad,1,L,Low
365,M,Jordan,Jordan,lowerlevel,1,B,Arabic,F,Mum,0.2,0.9090909090909091,50,61,Bad,1,M,Medium
366,M,Jordan,Jordan,lowerlevel,1,B,Arabic,S,Mum,0.32,0.8282828282828283,59,63,Bad,1,M,Medium
367,M,Jordan,Jordan,lowerlevel,1,B,Arabic,F,Father,0.1,0.30303030303030304,50,91,Bad,1,L,High
368,M,Jordan,Jordan,lowerlevel,1,B,Arabic,S,Father,0.12,0.2222222222222222,59,83,Bad,1,L,High
369,F,Jordan,Jordan,lowerlevel,1,B,Arabic,F,Father,0.11,0.20202020202020202,20,98,Bad,1,L,High
370,F,Jordan,Jordan,lowerlevel,1,B,Arabic,S,Father,0.1,0.12121212121212122,29,93,Bad,1,L,High
371,M,Iraq,Iraq,lowerlevel,1,B,Arabic,F,Mum,0.69,0.8282828282828283,20,28,Good,0,H,Low
372,M,Iraq,Iraq,lowerlevel,1,B,Arabic,S,Mum,0.7,0.8383838383838383,29,33,Good,0,H,Low
373,F,Iraq,Iraq,lowerlevel,1,B,Arabic,F,Mum,0.89,0.9292929292929293,40,28,Good,0,H,Low
374,F,Iraq,Iraq,lowerlevel,1,B,Arabic,S,Mum,0.79,0.9393939393939394,49,23,Good,0,H,Low
375,M,Jordan,Jordan,lowerlevel,1,B,Arabic,F,Mum,0.15,0.9090909090909091,21,97,Good,0,M,High
376,M,Jordan,Jordan,lowerlevel,1,B,Arabic,S,Mum,0.2,0.7777777777777778,31,88,Good,0,M,High
377,M,Jordan,SaudiArabia,lowerlevel,1,B,Arabic,F,Mum,0.04,0.10101010101010101,11,7,Good,1,L,Low
378,M,Jordan,SaudiArabia,lowerlevel,1,B,Arabic,S,Mum,0.05,0.0,1,8,Good,1,L,Low
379,F,Jordan,Jordan,MiddleSchool,5,A,Biology,F,Mum,0.88,0.8181818181818182,50,10,Good,1,M,Low
380,F,Jordan,Jordan,MiddleSchool,5,A,Biology,S,Mum,0.9,0.8888888888888888,54,12,Good,1,M,Low
381,F,Iraq,Iraq,MiddleSchool,5,A,Biology,F,Mum,0.86,0.98989898989899,50,20,Good,0,H,Low
382,F,Iraq,Iraq,MiddleSchool,5,A,Biology,S,Mum,0.9,0.9090909090909091,57,22,Good,0,H,Low
383,M,Jordan,Palestine,MiddleSchool,5,A,Biology,F,Mum,0.78,0.9191919191919192,50,40,Good,0,H,Medium
384,M,Jordan,Palestine,MiddleSchool,5,A,Biology,S,Mum,0.7,0.98989898989899,54,72,Good,0,H,High
385,M,Jordan,Jordan,MiddleSchool,5,A,Biology,F,Father,0.8,0.8080808080808081,46,61,Bad,0,M,Medium
386,M,Jordan,Jordan,MiddleSchool,5,A,Biology,S,Father,0.85,0.8282828282828283,59,63,Bad,0,M,Medium
387,M,Palestine,Palestine,MiddleSchool,5,A,Biology,F,Father,0.88,0.9090909090909091,86,81,Good,0,H,High
388,M,Palestine,Palestine,MiddleSchool,5,A,Biology,S,Father,0.89,0.9292929292929293,89,83,Good,0,H,High
389,M,Jordan,Jordan,MiddleSchool,5,A,Biology,F,Father,0.39,0.7171717171717171,40,26,Good,1,M,Low
390,M,Jordan,Jordan,MiddleSchool,5,A,Biology,S,Father,0.35,0.8080808080808081,34,22,Good,1,M,Low
391,M,Jordan,Jordan,MiddleSchool,5,A,Biology,F,Father,0.76,0.8181818181818182,80,86,Good,0,H,High
392,M,Jordan,Jordan,MiddleSchool,5,A,Biology,S,Father,0.65,0.898989898989899,64,82,Good,0,H,High
393,F,Syria,Syria,MiddleSchool,5,A,Biology,F,Mum,0.96,0.9595959595959596,70,70,Good,0,H,High
394,F,Syria,Syria,MiddleSchool,5,A,Biology,S,Mum,0.8,0.9191919191919192,87,72,Good,0,H,High
395,M,Jordan,Jordan,MiddleSchool,5,A,Biology,F,Mum,0.02,0.09090909090909091,10,1,Bad,1,L,Low
396,M,Jordan,Jordan,MiddleSchool,5,A,Biology,S,Mum,0.03,0.08080808080808081,19,3,Bad,1,L,Low
397,M,Jordan,Jordan,MiddleSchool,5,B,Biology,F,Father,0.5,0.797979797979798,10,31,Bad,0,M,Low
398,M,Jordan,Jordan,MiddleSchool,5,B,Biology,S,Father,0.53,0.8888888888888888,9,33,Bad,0,M,Low
399,F,Jordan,Jordan,MiddleSchool,5,B,Biology,F,Mum,0.7,0.898989898989899,12,21,Good,0,H,Low
400,F,Jordan,Jordan,MiddleSchool,5,B,Biology,S,Mum,0.59,0.9090909090909091,19,43,Good,0,H,Medium
401,M,Palestine,Jordan,MiddleSchool,5,B,Biology,F,Father,0.78,0.8080808080808081,66,51,Good,0,M,Medium
402,M,Palestine,Jordan,MiddleSchool,5,B,Biology,S,Father,0.79,0.7272727272727273,79,83,Good,0,M,High
403,F,Lybia,Lybia,MiddleSchool,5,B,Biology,F,Mum,0.1,0.09090909090909091,2,1,Good,1,L,Low
404,F,Lybia,Lybia,MiddleSchool,5,B,Biology,S,Mum,0.09,0.0707070707070707,9,3,Good,1,L,Low
405,M,Iraq,Iraq,MiddleSchool,5,B,Biology,F,Father,0.98,0.9090909090909091,86,71,Good,0,H,High
406,M,Iraq,Iraq,MiddleSchool,5,B,Biology,S,Father,0.89,0.9292929292929293,89,83,Good,0,H,High
407,M,Palestine,Jordan,MiddleSchool,5,B,Biology,F,Father,0.88,0.9090909090909091,76,81,Good,0,H,High
408,M,Palestine,Jordan,MiddleSchool,5,B,Biology,S,Father,0.99,0.9696969696969697,89,84,Good,0,H,High
409,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Mum,0.82,0.898989898989899,22,31,Good,0,H,Low
410,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Mum,0.84,0.9292929292929293,29,43,Good,0,H,Medium
411,F,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Mum,0.7,0.696969696969697,46,45,Good,1,M,Medium
412,F,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Mum,0.74,0.6262626262626263,49,43,Good,1,M,Medium
413,F,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Mum,0.9,0.797979797979798,76,79,Good,0,H,High
414,F,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Mum,0.84,0.7777777777777778,79,68,Good,0,H,High
415,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Mum,0.8,0.8080808080808081,62,11,Good,1,M,Low
416,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Mum,0.81,0.8282828282828283,69,13,Good,1,M,Low
417,M,Jordan,SaudiArabia,MiddleSchool,6,A,Chemistry,F,Father,0.1,0.0,2,41,Bad,1,L,Medium
418,M,Jordan,SaudiArabia,MiddleSchool,6,A,Chemistry,S,Father,0.11,0.020202020202020204,9,49,Bad,1,L,Medium
419,M,Jordan,SaudiArabia,MiddleSchool,6,A,Geology,F,Father,0.85,0.898989898989899,22,61,Bad,0,H,Medium
420,M,Jordan,SaudiArabia,MiddleSchool,6,A,Geology,S,Father,0.8,0.898989898989899,23,68,Bad,0,H,High
421,M,Jordan,SaudiArabia,MiddleSchool,6,A,Geology,F,Father,0.95,0.8787878787878788,62,81,Bad,0,M,High
422,M,Jordan,SaudiArabia,MiddleSchool,6,A,Geology,S,Father,0.87,0.797979797979798,73,98,Bad,0,M,High
423,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Mum,0.85,0.8787878787878788,72,10,Good,1,M,Low
424,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Mum,0.79,0.8888888888888888,79,20,Good,1,M,Low
425,M,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Mum,0.8,0.8181818181818182,71,30,Good,0,M,Low
426,M,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Mum,0.7,0.8383838383838383,70,23,Good,0,M,Low
427,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Mum,0.8,0.8282828282828283,76,19,Good,0,M,Low
428,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Mum,0.7,0.8282828282828283,75,29,Good,0,M,Low
429,M,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Mum,0.89,0.8787878787878788,86,15,Good,0,M,Low
430,M,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Mum,0.9,0.8686868686868687,85,10,Good,0,M,Low
431,M,Jordan,Jordan,MiddleSchool,6,A,History,F,Mum,0.69,0.7777777777777778,76,75,Good,1,M,High
432,M,Jordan,Jordan,MiddleSchool,6,A,History,S,Mum,0.7,0.7676767676767676,65,70,Good,1,M,High
433,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Mum,0.75,0.7272727272727273,64,39,Good,1,L,Medium
434,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Mum,0.72,0.7676767676767676,66,40,Good,1,L,Medium
435,M,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Mum,0.77,0.8282828282828283,74,79,Good,0,M,High
436,M,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Mum,0.71,0.8484848484848485,67,80,Good,0,M,High
437,M,Jordan,Jordan,MiddleSchool,6,A,History,F,Mum,0.87,0.9292929292929293,74,89,Good,0,H,High
438,M,Jordan,Jordan,MiddleSchool,6,A,History,S,Mum,0.81,0.8484848484848485,77,85,Good,0,H,High
439,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Father,0.15,0.9797979797979798,22,10,Good,0,H,Low
440,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Father,0.19,0.98989898989899,20,2,Good,0,H,Low
441,F,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Father,0.25,0.8282828282828283,52,20,Good,1,M,Low
442,F,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Father,0.29,0.7878787878787878,40,12,Good,1,M,Low
443,F,Jordan,Jordan,MiddleSchool,6,A,History,F,Father,0.45,0.8787878787878788,57,80,Good,0,M,High
444,F,Jordan,Jordan,MiddleSchool,6,A,History,S,Father,0.39,0.8888888888888888,43,72,Good,0,M,High
445,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Father,0.85,0.9090909090909091,52,30,Good,0,H,Low
446,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Father,0.79,0.9191919191919192,49,22,Good,0,H,Low
447,M,Iraq,Iraq,MiddleSchool,6,A,Chemistry,F,Father,0.9,0.9191919191919192,80,81,Good,0,H,High
448,M,Iraq,Iraq,MiddleSchool,6,A,Chemistry,S,Father,0.8,0.9090909090909091,80,83,Good,0,H,High
